Section,#,Test Item,Status,Tester,Date Tested,Platform,Game Mode,Notes
7. Detail Panel & Wiki Integration,7.7,Switching PvE/WvW updates detail facts with highlights/flash,,,,,,
8. Underwater Mode,8.1,Underwater checkbox toggles underwater skill sets,,,,,,
8. Underwater Mode,8.2,Underwater equipment slots show (breather + 2 aquatic weapons),,,,,,
8. Underwater Mode,8.3,"Only aquatic weapons available (Spear, Trident, Harpoon Gun)",,,,,,
8. Underwater Mode,8.4,Land weapons hidden when underwater enabled,,,,,,
8. Underwater Mode,8.5,"Revenant: Certain legends disabled underwater (Glint, Kalla)",,,,,,
8. Underwater Mode,8.6,Ranger: Only amphibious/aquatic pets available underwater,,,,,,
8. Underwater Mode,8.7,Elementalist: Attunement-dependent skills update for underwater,,,,,,
9. Build Library & Management,9.1,"Library page shows all saved builds with title, profession icon, last modified",,,,,,
9. Build Library & Management,9.2,Search filters builds by title,,,,,,
9. Build Library & Management,9.3,"""New Build"" creates empty build",,,,,,
9. Build Library & Management,9.4,Load build from library into editor,,,,,,
9. Build Library & Management,9.5,Save/Update existing build,,,,,,
9. Build Library & Management,9.6,"Duplicate build creates copy with ""(Copy)"" suffix",,,,,,
9. Build Library & Management,9.7,Delete build with confirmation,,,,,,
9. Build Library & Management,9.8,Pin/unpin builds,,,,,,
9. Build Library - Folder Management,9.9,"Create, rename, and delete folders",,,,,,
9. Build Library - Folder Management,9.10,Move builds between folders via drag-drop,,,,,,
9. Build Library - Folder Management,9.11,Drag builds within folder to reorder,,,,,,
9. Build Library - Folder Management,9.12,"Visual feedback during drag (hover states, drop zones)",,,,,,
9. Build Library - Context Menu,9.13,"Open, Duplicate, Delete, Move, Pin/Unpin options for builds",,,,,,
9. Build Library - Context Menu,9.14,"Edit name, Delete options for folders",,,,,,
9. Build Library - Chat Links,9.15,Generate chat link button copies link to clipboard,,,,,,
9. Build Library - Chat Links,9.16,Chat links can be imported back (paste),,,,,,
9. Build Library - Chat Links,9.17,Pre-warming loads chat links in background,,,,,,
10. Publishing & GitHub Pages,10.1,Build must have title and profession before publishing,,,,,,
10. Publishing & GitHub Pages,10.2,Save prompt appears if unsaved changes exist,,,,,,
10. Publishing & GitHub Pages,10.3,"Publish progress indicators show (Saving → Repo → Site → Encrypt → Upload → Deploy → Pages)",,,,,,
10. Publishing & GitHub Pages,10.4,Build data encrypted with unique key,,,,,,
10. Publishing & GitHub Pages,10.5,SPA files uploaded to GitHub,,,,,,
10. Publishing & GitHub Pages,10.6,GitHub Actions workflow triggers,,,,,,
10. Publishing & GitHub Pages,10.7,"Pages build status polled until ""built""",,,,,,
10. Publishing & GitHub Pages,10.8,Success message shows with published link,,,,,,
10. Publishing & GitHub Pages,10.9,Published link copied to clipboard,,,,,,
10. Publishing & GitHub Pages,10.10,Error messages display if publish fails; retry option available,,,,,,
10. Publishing - Published Page,10.11,Build renders on GitHub Pages,,,,,,
10. Publishing - Published Page,10.12,"Title, profession, specializations, traits, skills, equipment display",,,,,,
10. Publishing - Published Page,10.13,Notes render as markdown,,,,,,
10. Publishing - Published Page,10.14,Images load properly,,,,,,
11. Notes Tab,11.1,Notes textarea accepts input,,,,,,
11. Notes Tab,11.2,"Toolbar buttons insert markdown (H1-H3, Bold, Italic, Underline, Lists, Table, HR, Link, Image)",,,,,,
11. Notes Tab,11.3,Toggle preview/edit mode works,,,,,,
11. Notes Tab,11.4,Preview renders markdown to HTML correctly,,,,,,
11. Notes Tab,11.5,@ mention autocomplete shows skills/traits,,,,,,
11. Notes Tab,11.6,"Arrow keys navigate suggestions, Enter selects",,,,,,
11. Notes Tab,11.7,Notes save with build and persist across save/reload,,,,,,
12. Build Persistence & Import/Export,12.1,Save button saves all editor data; Ctrl+S shortcut works,,,,,,
12. Build Persistence & Import/Export,12.2,Warning on page/build change if unsaved,,,,,,
12. Build Persistence & Import/Export,12.3,Copy JSON exports current build,,,,,,
12. Build Persistence & Import/Export,12.4,Paste JSON imports from clipboard (with dirty check),,,,,,
12. Build Persistence & Import/Export,12.5,Paste chat link imports build into editor,,,,,,
12. Build Persistence & Import/Export,12.6,Imported build loads all data correctly,,,,,,
13. Window Controls & UI,13.1,"Minimize, Maximize/Restore, Close buttons work",,,,,,
13. Window Controls & UI,13.2,Double-clicking title bar maximizes/restores,,,,,,
13. Window Controls & UI,13.3,Window resizing works (min 1120x740),,,,,,
13. Window Controls & UI,13.4,Window size persists across sessions,,,,,,
13. Window Controls & UI,13.5,Version displays in titlebar,,,,,,
13. Window Controls & UI,13.6,Update check runs; notification shows when update available,,,,,,
13. Window Controls & UI,13.7,Download progress displays; restart completes update,,,,,,
13. Window Controls & UI,13.8,Dark theme is readable with good contrast,,,,,,
13. Window Controls & UI,13.9,Profession colors distinguish clearly,,,,,,
13. Window Controls & UI,13.10,Workspace switcher shows user menu with login/logout,,,,,,
14. Performance & Stability,14.1,App loads within 2-3 seconds,,,,,,
14. Performance & Stability,14.2,Profession catalog loads in under 1 second (after first),,,,,,
14. Performance & Stability,14.3,Switching professions responsive (< 500ms),,,,,,
14. Performance & Stability,14.4,Skill picker opens instantly,,,,,,
14. Performance & Stability,14.5,Library renders 100+ builds without lag,,,,,,
14. Performance & Stability,14.6,No crashes on normal usage,,,,,,
14. Performance & Stability,14.7,"Graceful error handling (bad network, API failures)",,,,,,
14. Performance & Stability,14.8,Publishing doesn't freeze UI,,,,,,
14. Performance & Stability,14.9,Multiple rapid saves don't cause issues,,,,,,
15. Cross-Platform - Windows,15.1,Installer works,,,,,,
15. Cross-Platform - Windows,15.2,Window controls visible and functional,,,,,,
15. Cross-Platform - Linux,15.3,AppImage runs without issues,,,,,,
15. Cross-Platform - Linux,15.4,Window manager integration works,,,,,,
16. Edge Cases & Error Handling,16.1,GW2 API timeout shows error without crash,,,,,,
16. Edge Cases & Error Handling,16.2,GitHub API failure shows user-friendly message,,,,,,
16. Edge Cases & Error Handling,16.3,Empty build title validation,,,,,,
16. Edge Cases & Error Handling,16.4,Invalid JSON import rejected with error,,,,,,
16. Edge Cases & Error Handling,16.5,Corrupt build file handled gracefully,,,,,,
16. Edge Cases & Error Handling,16.6,0 specializations allowed; 3+ prevented,,,,,,
16. Edge Cases & Error Handling,16.7,Empty utility slots allowed,,,,,,
17. Regression Checks,17.1,Reaper shroud 5 accuracy in WvW split,,,,,,
17. Regression Checks,17.2,Overload skill selection updates reference panel,,,,,,
17. Regression Checks,17.3,Elementalist flip skills not appearing in core/cata/evoker,,,,,,
17. Regression Checks,17.4,Build name appears in window title,,,,,,
17. Regression Checks,17.5,Build summary collapsed by default,,,,,,
17. Regression Checks,17.6,Loading states show during catalog fetches,,,,,,
17. Regression Checks,17.7,Lines between skills persist after publish,,,,,,
17. Regression Checks,17.8,GitHub Pages setup is optional (not forced),,,,,,
